time,load_mw,max_i_ka,loading_percent
2026-04-19 00:00:00,120.8,1.7810534553448276,17.672129197067438
2026-04-19 01:00:00,120.7,1.7808546477720908,17.65992457577697
2026-04-19 02:00:00,180.6,1.7838145589156127,26.15670299434915
2026-04-19 03:00:00,170.5,1.789768132800406,24.63194523133076
2026-04-19 04:00:00,180.5,1.7913323261445984,26.03270037231465
2026-04-19 05:00:00,150.7,1.7923094378478241,21.787208756354996
2026-04-19 06:00:00,200.1,1.7896474615088684,28.85112777868691
2026-04-19 07:00:00,320.5,1.7649207640448972,46.72380397169833
2026-04-19 08:00:00,320.8,1.7454786752765414,47.28834660031701
2026-04-19 09:00:00,330.0,1.7270948078612578,49.15891234235741
2026-04-19 10:00:00,330.1,1.712236986010737,49.600477367279076
2026-04-19 11:00:00,303.2,1.697544929176958,45.96358947212288
2026-04-19 12:00:00,30.3,1.6859694075266694,5.67774926619765
2026-04-19 13:00:00,330.4,1.6822043829640168,50.53177959077586
2026-04-19 14:00:00,430.5,1.6824311441581967,65.8168933067816
2026-04-19 15:00:00,430.6,1.6882389804354647,65.60574350184524
2026-04-19 16:00:00,430.8,1.6999347659653583,65.18470042773846
2026-04-19 17:00:00,450.0,1.7165048802072205,67.43981183995378
2026-04-19 18:00:00,540.2,1.728267270916194,80.45143530967388
2026-04-19 19:00:00,580.3,1.7380840033841305,85.95846460950646
2026-04-19 20:00:00,450.1,1.7521976871527838,66.08076115572882
2026-04-19 21:00:00,300.6,1.7645057438041423,43.841393693328165
2026-04-19 22:00:00,280.0,1.770313817639188,40.71409070338616
2026-04-19 23:00:00,200.5,1.7758132278222392,29.13339597980637
