time,temperature,wind,static_loading,dlr_loading
2026-04-19 00:00:00,9.9,20.3,43.735227571566234,14.97843266202323
2026-04-19 01:00:00,9.3,16.3,51.024631789637944,18.138579740353695
2026-04-19 02:00:00,8.6,13.4,58.35247403677051,21.581514557006724
2026-04-19 03:00:00,8.0,12.7,65.70642029178899,24.295274075435145
2026-04-19 04:00:00,7.6,12.7,73.07907405957977,27.10552195135868
2026-04-19 05:00:00,7.3,11.3,80.46574304129311,30.442690373749397
2026-04-19 06:00:00,7.5,11.9,87.86331407983718,32.65055857458975
2026-04-19 07:00:00,8.8,12.3,95.26964533140408,35.25169044069146
2026-04-19 08:00:00,10.6,13.1,102.68321856598051,38.67084273983482
2026-04-19 09:00:00,12.1,16.0,110.10293059498919,40.259266371303035
2026-04-19 10:00:00,13.9,16.4,117.52796304274821,43.37077590060401
2026-04-19 11:00:00,15.7,15.4,124.957698196946,46.95860136339219
2026-04-19 12:00:00,16.6,14.4,132.39166300089326,50.30195451239881
2026-04-19 13:00:00,17.0,13.4,139.82949079894166,54.13846898351136
2026-04-19 14:00:00,17.6,12.7,147.2708946059511,57.75457623402305
2026-04-19 15:00:00,17.9,14.5,154.71564804799849,59.437673559887095
2026-04-19 16:00:00,18.1,19.4,162.1635715253334,59.00700898700777
2026-04-19 17:00:00,17.5,26.8,169.61452200245387,58.292761984732635
2026-04-19 18:00:00,16.8,27.8,177.06838536335346,59.96631379115836
2026-04-19 19:00:00,15.7,26.3,184.52596086544202,62.20742214777649
2026-04-19 20:00:00,14.8,23.2,192.00018150886095,65.75343411723037
2026-04-19 21:00:00,12.9,23.5,199.47655550582323,67.31157936539162
2026-04-19 22:00:00,11.8,24.2,206.9550965894364,68.75771293579488
2026-04-19 23:00:00,10.9,25.0,214.43582074003626,70.3362916215704
