time,load_mw,static_limit_ka,dlr_limit_ka,loading_static_%,loading_dlr_%,relief_%
2026-04-19 00:00:00,120.8,0.6,1.7810534553448276,52.45834461622862,17.672129197067438,34.78621541916118
2026-04-19 01:00:00,120.7,0.6,1.7808546477720908,52.416264600128315,17.65992457577697,34.756340024351346
2026-04-19 02:00:00,180.6,0.6,1.7838145589156127,77.76451269091937,26.15670299434915,51.60780969657023
2026-04-19 03:00:00,170.5,0.6,1.789768132800406,73.47578437320121,24.63194523133076,48.84383914187045
2026-04-19 04:00:00,180.5,0.6,1.7913323261445984,77.72202952293958,26.03270037231465,51.68932915062493
2026-04-19 05:00:00,150.7,0.6,1.7923094378478241,65.0823664639597,21.787208756354996,43.2951577076047
2026-04-19 06:00:00,200.1,0.6,1.7896474615088684,86.0555793179917,28.85112777868691,57.20445153930479
2026-04-19 07:00:00,320.5,0.6,1.7649207640448972,137.43968634135638,46.72380397169833,90.71588236965805
2026-04-19 08:00:00,320.8,0.6,1.7454786752765414,137.56800096656548,47.28834660031701,90.27965436624847
2026-04-19 09:00:00,330.0,0.6,1.7270948078612578,141.50350377765366,49.15891234235741,92.34459143529625
2026-04-19 10:00:00,330.1,0.6,1.712236986010737,141.54628645340617,49.600477367279076,91.9458090861271
2026-04-19 11:00:00,303.2,0.6,1.697544929176958,130.04209705862266,45.96358947212288,84.07850758649978
2026-04-19 12:00:00,30.3,0.6,1.6859694075266694,15.954185944027058,5.67774926619765,10.276436677829409
2026-04-19 13:00:00,330.4,0.6,1.6822043829640168,141.67463517762465,50.53177959077586,91.14285558684878
2026-04-19 14:00:00,430.5,0.6,1.6824311441581967,184.5539851851109,65.8168933067816,118.7370918783293
2026-04-19 15:00:00,430.6,0.6,1.6882389804354647,184.59695586710973,65.60574350184524,118.99121236526449
2026-04-19 16:00:00,430.8,0.6,1.6999347659653583,184.68289744358262,65.18470042773846,119.49819701584416
2026-04-19 17:00:00,450.0,0.6,1.7165048802072205,192.9346102392289,67.43981183995378,125.49479839927513
2026-04-19 18:00:00,540.2,0.6,1.728267270916194,231.735970906568,80.45143530967388,151.28453559689413
2026-04-19 19:00:00,580.3,0.6,1.7380840033841305,249.00505382207348,85.95846460950646,163.04658921256703
2026-04-19 20:00:00,450.1,0.6,1.7521976871527838,192.97759477060592,66.08076115572882,126.8968336148771
2026-04-19 21:00:00,300.6,0.6,1.7645057438041423,128.93065164709375,43.841393693328165,85.08925795376558
2026-04-19 22:00:00,280.0,0.6,1.770313817639188,120.12786224136622,40.71409070338616,79.41377153798005
2026-04-19 23:00:00,200.5,0.6,1.7758132278222392,86.22578325387234,29.13339597980637,57.09238727406597
