time,temperature_2m,wind_speed_100m,cloud_cover,DLR_ampacity
2026-04-19 00:00:00,8.523360655737706,20.683512234153007,57.26229508196721,1781.0534553448276
2026-04-19 01:00:00,8.158196721311475,20.41860550273224,56.37978142076503,1780.8546477720909
2026-04-19 02:00:00,7.7247267759562845,20.252044981967213,58.12021857923497,1783.8145589156127
2026-04-19 03:00:00,7.408196721311476,20.384402260655737,57.43715846994535,1789.768132800406
2026-04-19 04:00:00,7.141530054644809,20.288728994808743,57.221311475409834,1791.3323261445983
2026-04-19 05:00:00,7.017349726775956,20.241539039617486,58.23224043715847,1792.3094378478243
2026-04-19 06:00:00,7.202049180327869,20.189198775136614,60.04644808743169,1789.6474615088684
2026-04-19 07:00:00,7.759426229508196,19.13638515874317,61.72950819672131,1764.9207640448972
2026-04-19 08:00:00,8.657513661202186,18.644746536612022,62.58743169398907,1745.4786752765415
2026-04-19 09:00:00,9.780464480874317,18.399015220765026,61.51912568306011,1727.0948078612578
2026-04-19 10:00:00,10.930054644808743,18.339034823224043,62.60109289617486,1712.236986010737
2026-04-19 11:00:00,11.937431693989073,18.19860237349727,63.478142076502735,1697.544929176958
2026-04-19 12:00:00,12.768169398907103,18.103581752431694,64.97540983606558,1685.9694075266693
2026-04-19 13:00:00,13.244672131147542,18.19850165,66.69125683060109,1682.2043829640168
2026-04-19 14:00:00,13.522677595628416,18.419282764754097,66.09016393442623,1682.4311441581967
2026-04-19 15:00:00,13.546584699453552,18.808279636885246,63.833333333333336,1688.2389804354648
2026-04-19 16:00:00,13.278005464480874,19.319877492486338,62.259562841530055,1699.9347659653583
2026-04-19 17:00:00,12.713387978142077,19.8809283284153,62.166666666666664,1716.5048802072204
2026-04-19 18:00:00,12.006010928961748,20.063465021967215,61.33606557377049,1728.2672709161939
2026-04-19 19:00:00,11.25792349726776,20.113802207650274,59.73497267759563,1738.0840033841305
2026-04-19 20:00:00,10.508060109289618,20.404176550273224,59.19945355191257,1752.1976871527838
2026-04-19 21:00:00,9.914071038251366,20.731716671311474,57.10655737704918,1764.5057438041422
2026-04-19 22:00:00,9.407240437158471,20.70988457568306,56.52459016393443,1770.3138176391878
2026-04-19 23:00:00,8.94412568306011,20.713015874863387,55.36612021857923,1775.8132278222392
